user_id,post_type,post_length,likes,comments,shares,engagement_rate,user_followers,post_category,post_hour,is_weekend,user_verified,spam_flag
99,text,111,401,24,1,1.071997209,6786,sports,21,0,1,1
100,text,,475,19,8,,1773,fashion,8,1,1,0
101,video,109,418,47,42,1.223871321,4687,sports,21,1,1,0
102,video,174,426,82,35,3.6515655,5453,sports,22,0,0,1
103,video,160,494,86,21,3.914906605,6957,sports,6,1,0,0
104,text,63,478,23,21,0.976084341,1766,fashion,15,1,1,0
105,video,297,474,10,21,2.777629337,4611,sports,8,0,0,0
106,video,280,125,97,33,4.165812752,6272,food,23,1,1,1
107,text,266,394,54,28,4.712733687,1484,food,16,1,0,1
108,video,133,304,27,37,2.8108304,4503,technology,19,1,1,0
109,text,179,368,68,45,4.776256506,4054,food,6,1,1,1
110,image,280,293,62,32,2.910600367,6405,technology,10,0,1,1
111,video,119,63,58,17,2.273857226,8352,fashion,7,1,1,0
112,image,194,324,4,6,4.316914078,7338,sports,6,1,0,1
113,text,172,391,50,0,2.718422197,7081,food,18,1,1,1
114,video,138,417,20,32,2.623561298,6126,technology,19,0,1,1
115,text,298,175,11,0,2.706406202,6709,fashion,11,1,0,1
116,image,77,115,49,23,4.310532508,8764,technology,6,1,0,1
117,text,115,439,3,3,4.243736938,1058,sports,7,1,1,1
118,video,212,203,41,3,2.315839966,8824,food,6,0,1,0
119,video,278,485,83,17,1.999849369,593,fashion,5,0,0,0
120,image,54,320,37,26,2.713676108,7142,technology,8,0,1,0
121,text,242,30,24,42,3.077476294,181,fashion,12,0,1,1
122,video,217,387,13,31,1.572517448,7099,technology,6,0,1,0
123,image,253,112,74,32,4.072797881,3070,technology,7,1,1,1
124,video,233,364,31,27,2.689172446,111,sports,21,0,1,1
125,video,213,433,10,41,2.003204968,7924,sports,16,1,1,0
126,text,94,324,60,40,0.980694468,861,technology,16,0,1,1
127,video,,413,17,35,,3285,food,15,0,1,0
128,text,96,375,26,5,4.771765273,125,fashion,21,0,1,1
129,video,80,343,54,15,1.872948591,1906,fashion,1,1,0,0
130,image,188,442,53,33,1.259866802,6751,sports,7,1,0,0
131,video,59,66,81,22,2.573027562,5764,food,16,1,0,0
132,text,244,74,86,49,1.881894845,5254,technology,12,0,1,0
133,text,167,44,74,41,0.658216626,5924,sports,17,0,1,1
134,image,63,259,20,23,1.954153478,3759,technology,23,0,1,0
135,video,129,153,43,48,2.948488808,1625,technology,21,0,0,1
136,video,251,154,4,12,2.982705674,860,sports,9,0,0,0
137,image,142,429,86,17,2.104515145,694,food,1,0,1,0
138,video,59,362,40,12,2.512862403,7292,fashion,1,1,0,0
139,video,125,447,58,48,4.844830632,1155,sports,13,1,0,1
140,text,143,474,88,36,2.198068148,3183,food,15,0,1,0
141,video,154,233,53,42,1.66202066,3775,technology,6,1,1,0
142,video,50,50,73,38,1.595601698,9750,sports,20,1,0,1
143,image,182,305,21,41,2.559940757,6057,fashion,20,1,1,0
144,image,69,261,82,16,3.917840669,5355,fashion,23,0,0,1
145,text,57,314,64,14,1.426946829,9511,technology,11,0,0,0
146,video,220,124,63,17,3.691832572,4328,sports,22,0,0,0
147,video,253,398,70,22,0.595174205,4281,fashion,13,0,1,0
148,video,50,244,3,29,2.385198401,9791,sports,3,1,0,1
149,text,106,29,64,33,3.991392793,1930,fashion,3,0,0,0
150,text,113,425,14,3,2.024298301,3495,technology,17,0,1,0
151,image,167,484,75,2,3.036816957,1303,technology,2,0,1,0
152,text,261,121,21,6,1.422406548,2910,sports,0,1,0,1
153,video,77,124,85,17,3.83897926,3192,food,16,1,1,1
154,video,170,36,46,41,0.735255965,3144,food,6,1,1,1
155,text,156,169,80,6,4.336441902,6171,technology,15,1,0,1
156,video,214,123,92,39,1.391883739,7372,fashion,4,1,1,1
157,video,224,356,45,5,4.434791143,4773,food,18,0,0,1
158,text,278,34,13,21,2.086381586,3614,technology,6,1,1,0
159,text,253,86,49,0,3.752076085,6292,fashion,13,1,1,0
160,video,214,133,19,3,1.93651384,244,fashion,1,0,0,0
161,video,98,195,49,45,4.576602521,7607,food,2,0,0,0
162,video,290,273,32,48,1.069867065,4957,technology,16,0,1,0
163,image,169,200,58,49,1.303339052,1477,fashion,15,1,1,1
164,image,93,368,42,42,2.718635563,3246,fashion,7,0,1,1
165,image,105,284,78,28,0.868722976,5124,sports,17,1,0,1
166,text,205,76,11,20,1.381910831,893,sports,14,0,1,0
167,image,160,58,39,25,4.74694872,9893,food,6,1,0,1
168,text,256,430,19,13,4.894203475,5856,sports,8,1,1,0
169,text,183,125,93,8,2.193166982,4514,technology,5,1,1,1
170,image,157,499,37,46,4.654787095,1210,food,17,1,1,0
171,image,,400,2,11,,5772,food,17,0,1,1
172,image,197,108,27,41,1.713841096,4153,sports,23,0,1,0
173,video,163,223,55,5,3.660794245,4037,fashion,13,1,0,1
174,image,127,495,89,19,3.46505813,4063,technology,13,0,0,0
175,video,179,277,93,23,4.951063936,5042,technology,13,1,0,1
176,text,250,67,12,26,1.692712793,5997,technology,3,0,1,0
177,video,86,68,76,37,3.524267762,9074,food,3,0,0,0
178,image,69,164,65,7,0.734106898,1216,technology,14,1,0,0
179,text,75,488,36,0,1.011407174,1850,fashion,14,1,1,0
180,text,78,304,48,48,0.517632687,4127,fashion,17,0,1,1
181,text,50,396,65,48,4.997573065,5845,sports,13,1,0,1
182,video,168,161,35,23,4.110231637,5164,technology,0,0,0,1
183,image,84,364,53,46,4.040253566,9779,food,9,0,0,0
184,text,247,341,25,6,2.793767339,6038,sports,19,0,0,1
185,text,278,308,74,18,1.850301873,3497,fashion,9,1,0,0
186,text,294,378,71,21,1.18068928,8365,technology,9,1,0,1
187,video,108,342,39,34,1.781036325,1459,fashion,23,0,0,0
188,video,118,434,42,29,2.191870499,9383,sports,1,1,1,1
189,image,210,386,21,28,3.903395436,4953,fashion,7,1,0,0
190,video,,41,19,21,,2041,technology,0,0,1,0
191,text,228,353,7,10,0.848676319,3248,technology,0,1,1,1
192,image,,415,28,19,,8033,sports,3,1,1,1
193,text,61,108,39,28,0.960494808,9536,technology,6,0,0,1
194,text,283,50,89,40,2.347244212,1385,fashion,8,1,0,0
195,video,69,249,29,41,4.699368127,6574,fashion,15,0,1,0
196,image,230,496,80,33,3.368311165,870,food,4,1,0,0
197,video,291,340,83,0,4.108216549,1943,food,1,1,0,1
198,video,265,429,54,30,2.598685675,173,food,22,0,1,0
199,image,92,382,15,29,2.127497374,1760,fashion,10,0,0,1
200,text,175,491,45,47,0.987801677,4449,fashion,17,1,1,0
201,text,275,20,61,17,4.4416986,7202,sports,18,0,1,1
202,image,266,299,6,16,4.024220131,8100,food,12,0,1,0
203,text,99,138,79,37,1.256531439,9111,fashion,23,1,1,0
204,image,78,358,44,13,2.805172537,3918,sports,10,0,0,1
205,image,234,323,58,22,2.693186636,431,fashion,19,1,1,0
206,video,88,498,55,24,3.312911987,1521,sports,18,1,0,0
207,image,272,384,47,14,4.757841023,7612,food,16,0,0,1
208,video,233,91,26,45,3.108971488,6990,food,4,1,0,0
209,text,288,446,52,21,2.930977701,5031,food,12,0,0,1
210,text,220,279,86,2,0.726453198,9983,fashion,19,1,1,1
211,text,227,124,87,18,0.783083642,6125,fashion,0,0,1,0
212,text,200,482,72,43,1.343060561,4508,sports,9,0,1,0
213,video,221,396,34,33,0.646118473,5213,technology,7,1,1,0
214,text,87,110,50,34,3.84508803,8519,technology,23,0,1,1
215,image,133,353,83,49,3.754986368,2981,food,7,0,0,0
216,image,200,138,36,0,1.112253055,2965,technology,18,0,1,1
217,image,177,483,80,20,4.262355054,2675,food,5,1,0,0
218,video,,434,94,28,,6285,sports,11,1,0,0
219,text,94,272,56,5,1.855290141,8756,technology,6,0,1,1
220,text,101,98,7,36,1.620396046,5841,technology,15,0,0,0
221,text,129,251,78,0,2.175381944,377,food,8,1,0,0
222,video,,337,94,0,,165,sports,20,1,1,0
223,image,283,103,93,26,2.700279169,4362,technology,21,1,1,0
224,image,173,213,19,20,2.333335466,5804,technology,9,0,1,0
225,text,168,248,52,15,4.939562709,8694,technology,9,1,0,1
226,image,57,151,11,43,0.751668576,8089,sports,9,0,1,0
227,image,291,249,48,39,1.139816194,6355,sports,19,1,1,1
228,video,134,274,16,25,0.737716523,7541,technology,15,0,0,0
229,video,178,164,63,15,3.316285377,4792,food,0,1,1,0
230,video,296,486,41,27,0.745291748,4519,food,16,0,0,1
231,video,57,340,93,0,4.263978818,8060,technology,20,1,0,0
232,text,206,7,28,35,2.803723838,6178,sports,13,1,1,0
233,video,145,283,18,9,2.871534311,1537,technology,18,0,0,1
234,image,151,4,10,42,3.027175285,8720,sports,20,1,0,1
235,text,54,144,97,16,1.268661678,7132,technology,20,1,1,0
236,image,288,100,49,22,1.389606364,5831,sports,16,1,1,1
237,image,135,163,70,6,1.934677953,3478,fashion,13,1,1,1
238,image,224,373,57,43,3.170733871,8684,food,7,0,0,1
239,video,83,146,33,6,1.445529992,6447,fashion,20,0,0,1
240,video,242,63,19,43,1.023492772,6501,food,20,1,1,0
241,text,104,90,49,14,4.865525989,6729,sports,8,0,1,0
242,text,168,116,87,33,0.598918167,4641,fashion,7,0,1,1
243,video,267,353,9,45,4.112138324,7976,food,12,0,0,0
244,image,220,266,31,44,4.046158173,8633,technology,16,0,1,1
245,text,251,309,51,3,1.837463512,8424,sports,18,0,0,0
246,video,207,172,14,13,1.110319772,364,sports,6,1,1,0
247,video,163,46,83,13,1.15532891,9977,technology,16,0,0,1
248,video,259,139,2,15,3.638442278,1534,technology,0,1,0,1
249,image,194,245,36,6,3.39262966,5427,food,4,0,1,0
250,video,75,148,39,31,4.022355534,5197,sports,5,1,0,0
251,video,185,245,71,18,4.718665276,1760,food,1,1,0,0
252,video,96,394,39,1,3.613673135,5792,technology,15,1,1,1
253,video,281,486,55,9,1.201331914,2454,sports,21,0,1,0
254,text,,475,22,49,,8557,technology,4,0,0,1
255,text,125,4,10,16,4.289871789,6561,food,4,1,0,1
256,video,268,464,63,36,1.441877341,9428,food,11,1,0,1
257,image,121,183,7,11,0.826350426,7144,food,2,0,1,0
258,text,138,19,92,5,3.664760243,5597,sports,15,0,0,1
259,video,95,424,93,21,2.3113686,4649,technology,5,1,0,0
260,text,,45,55,31,,6434,technology,14,0,1,1
261,text,82,11,59,40,3.42614782,6110,food,14,0,1,0
262,image,50,69,9,19,0.9068854,5026,food,15,0,1,0
263,video,,16,38,0,,9682,food,19,0,1,1
264,video,80,370,27,46,1.663507686,9404,food,12,0,1,1
265,image,257,146,48,5,2.017456207,6165,fashion,11,0,0,0
266,image,191,153,35,18,2.310171862,2279,fashion,9,1,0,0
267,video,,303,12,17,,5067,fashion,13,1,0,1
268,video,97,107,95,5,2.7343194,734,food,1,1,1,1
269,image,118,235,35,44,1.05493321,3731,food,2,1,1,0
270,text,154,307,25,32,2.30436647,9691,technology,8,1,1,0
271,text,139,351,85,22,2.078194046,4777,sports,10,1,0,1
272,image,239,69,3,22,3.977780375,2318,technology,10,0,1,0
273,text,269,182,94,25,4.114267302,1489,fashion,21,0,1,1
274,image,243,249,81,12,1.190357971,4376,technology,9,1,1,1
275,text,291,227,63,6,2.149480343,1349,food,13,1,0,1
276,text,241,101,37,14,2.180089225,7740,fashion,8,1,1,1
277,video,247,74,87,43,1.181346998,5812,fashion,19,0,1,0
278,video,112,416,86,26,4.093040773,1345,sports,20,0,0,1
279,text,122,445,21,25,3.682527478,8345,sports,9,0,1,1
280,text,210,215,1,32,1.356718038,542,fashion,21,0,1,0
281,video,218,406,30,14,2.150248589,7076,fashion,8,1,1,0
282,video,138,398,10,35,0.976122612,4775,technology,4,1,0,1
283,video,225,410,91,44,3.326929687,8053,fashion,7,1,1,1
284,image,62,202,45,26,1.04617366,4477,food,10,1,1,1
285,text,122,191,95,4,4.936703759,7158,technology,0,0,0,1
286,video,294,248,61,1,4.013069336,922,food,20,0,0,1
287,text,126,498,68,32,2.256073473,3039,food,9,1,1,1
288,image,208,241,63,15,3.103537695,7196,food,0,0,0,0
289,image,282,464,9,22,4.601038173,5865,fashion,21,0,1,0
290,video,252,178,39,37,2.993446762,1131,sports,6,0,0,1
291,image,117,436,23,15,1.285243189,662,sports,13,0,1,0
292,text,147,461,98,13,2.2041651,440,food,4,1,1,0
293,video,174,218,43,28,4.294151893,4667,fashion,16,0,1,1
294,text,151,81,59,25,3.398958572,7962,technology,21,1,0,0
295,text,287,91,61,34,3.42825973,2396,food,20,0,0,0
296,image,181,434,86,14,4.400696686,334,technology,5,0,1,1
297,image,,174,16,2,,5302,technology,15,1,1,1
298,image,68,238,64,22,4.639066573,9408,fashion,10,1,1,1
299,image,247,259,94,28,0.92682137,9709,fashion,9,0,1,0
300,image,275,390,94,33,2.948567009,1391,sports,14,0,0,1
301,video,131,364,56,32,3.832292845,4827,sports,6,1,0,0
302,text,190,162,54,40,3.906170803,8820,fashion,22,0,1,1
303,text,282,47,52,40,3.230222909,3039,food,1,0,0,1
304,text,72,328,55,22,1.250543008,5535,sports,11,1,0,1
305,text,132,327,97,6,4.088392493,7081,technology,18,0,0,1
306,image,158,115,8,2,3.740501001,5492,food,11,0,1,0
307,text,124,428,21,31,0.887610972,9621,technology,15,0,1,0
308,video,178,336,12,30,2.587144211,8072,fashion,5,0,0,1
309,video,137,336,88,17,1.282898298,1333,technology,2,0,0,0
310,text,103,368,47,42,2.018646706,2900,food,1,1,1,1
311,text,248,224,17,6,0.581364915,2875,fashion,19,0,1,1
312,video,138,351,75,40,2.301484408,6144,food,4,1,1,0
313,video,,327,39,0,,3587,technology,10,1,0,0
314,image,,146,16,13,,7483,food,2,0,0,1
315,video,114,62,14,31,3.485706553,3950,fashion,2,1,0,1
316,image,125,293,14,5,4.263310909,5097,technology,21,0,1,1
317,image,299,322,78,38,1.469583083,990,technology,4,1,1,0
318,image,,442,62,9,,6020,sports,21,1,1,1
319,image,192,324,38,6,4.331917274,1288,sports,22,1,1,1
320,image,198,12,12,25,1.204757667,5744,food,10,0,1,1
321,text,,430,80,33,,840,sports,2,1,0,1
322,video,,493,31,29,,1469,sports,12,1,0,1
323,image,142,188,8,35,2.753944727,9681,sports,20,1,0,1
324,video,266,286,39,20,4.916396412,2100,sports,7,0,1,0
325,video,210,207,19,16,0.938195281,1571,fashion,19,0,0,1
326,image,98,113,89,32,1.863795925,1636,fashion,9,1,1,1
327,text,273,479,90,9,3.372009868,418,sports,1,1,0,0
328,image,290,21,84,46,2.075030908,5253,food,3,1,0,0
329,text,84,348,81,41,4.677676484,1994,fashion,17,1,1,1
330,video,221,213,76,11,0.795317397,8091,sports,18,0,0,0
331,text,151,170,79,15,2.972353244,9567,fashion,3,0,0,1
332,text,267,322,72,40,3.158898203,8692,technology,19,0,0,0
333,text,60,53,62,31,3.437276557,6035,fashion,8,1,0,0
334,video,148,393,75,14,1.650498005,823,fashion,15,0,0,1
335,video,249,297,43,26,2.140548924,2429,food,5,1,0,0
336,text,159,319,37,27,4.296562383,9427,fashion,3,1,0,1
337,text,255,125,82,16,1.37724246,2870,food,8,1,1,0
338,image,123,276,59,45,4.220905312,7645,technology,12,0,0,1
339,text,243,463,70,49,3.031949403,4946,sports,8,1,1,0
340,image,223,203,98,1,3.9298438,367,food,5,0,0,1
341,text,58,193,47,35,3.711233148,669,fashion,20,1,1,1
342,image,52,168,17,49,1.433801729,2073,fashion,18,0,1,1
343,video,134,151,15,6,3.059657314,8837,food,13,1,0,1
344,text,75,34,54,12,4.404754188,2922,technology,20,0,1,0
345,text,121,183,38,14,2.444523066,4560,sports,14,1,1,1
346,text,97,285,67,24,4.849658466,370,fashion,2,0,0,0
347,text,243,56,58,22,2.53496795,7741,technology,4,1,1,0
348,image,247,221,88,21,1.142535365,9030,sports,20,1,0,1
349,text,205,302,95,25,2.25245606,6780,sports,17,1,1,1
350,video,166,162,61,32,4.782660829,1357,fashion,13,0,1,0
351,video,270,18,12,10,1.938743822,8350,food,15,1,1,0
352,text,203,369,80,9,4.406441719,5470,fashion,13,1,1,0
353,video,202,263,5,24,4.465628068,4958,fashion,8,1,0,1
354,text,61,281,82,36,2.075839359,8681,fashion,14,0,0,1
355,text,182,112,76,47,0.874659461,9010,technology,6,1,0,0
356,video,275,487,59,42,3.760510591,7099,food,13,1,0,0
357,text,97,326,89,37,1.901805346,220,technology,5,0,0,0
358,video,86,29,13,40,4.023156264,7008,fashion,20,1,1,1
359,image,256,134,94,44,2.491946817,2403,food,14,0,0,0
360,text,93,66,53,23,2.683700341,4961,sports,19,1,1,0
361,image,277,64,3,39,4.00059233,3011,food,7,0,0,0
362,video,64,291,38,45,2.22063499,9091,fashion,1,0,0,0
363,image,92,24,71,32,2.494073054,7336,food,7,0,0,1
364,image,225,36,24,16,2.192857109,5665,sports,0,1,0,0
365,video,136,0,76,23,2.153032319,6631,sports,16,1,1,1
366,image,119,398,31,36,2.866759596,1209,food,18,0,0,1
367,image,95,36,58,1,4.1395975,7029,sports,4,1,1,0
368,video,291,140,62,31,2.127957404,1350,technology,21,1,1,1
369,image,157,231,37,23,2.859146242,8277,food,19,0,0,0
370,video,172,135,91,8,3.518272964,1749,sports,15,0,1,0
371,image,220,388,52,3,1.712477508,7451,sports,6,0,1,0
372,video,,187,93,16,,6011,food,6,0,0,0
373,video,70,127,66,16,4.700359072,9637,technology,17,1,1,0
374,image,200,200,27,49,3.75590558,3056,food,17,1,0,1
375,image,156,126,2,47,3.097340043,5928,sports,1,1,0,1
376,image,296,256,97,29,3.414740245,5094,food,14,1,1,0
377,text,129,163,79,39,0.631847494,6536,sports,13,1,1,1
378,text,96,34,21,10,3.281463345,8776,fashion,17,1,1,0
379,text,166,193,95,20,2.79278993,7714,food,8,0,1,1
380,video,173,190,37,20,2.955873559,9094,food,13,1,1,1
381,image,192,103,71,17,2.117407221,1815,sports,4,1,1,0
382,video,74,22,71,28,0.86663254,8250,sports,10,1,1,1
383,text,85,264,61,23,1.370026551,3583,sports,7,0,0,1
384,image,252,289,56,9,4.778351209,7775,sports,4,0,0,1
385,video,100,429,5,44,2.33914803,1857,food,10,1,0,0
386,image,64,461,77,16,2.600074201,1909,sports,4,0,1,1
387,video,117,383,31,17,0.737194054,5639,food,16,0,1,1
388,image,70,259,98,41,0.669048033,6148,technology,21,1,1,1
389,text,190,413,9,47,3.727316512,9962,food,3,1,0,1
390,text,263,478,2,19,2.921425989,1251,sports,14,1,0,1
391,image,68,357,58,36,2.789176929,5592,sports,18,0,0,1
392,video,83,74,75,44,1.594060387,6811,technology,21,0,1,1
393,text,127,354,48,17,3.851378292,6402,food,1,1,0,1
394,text,174,71,58,16,1.257064606,4847,technology,23,0,0,1
395,text,245,258,30,8,1.354706346,8502,food,16,0,1,0
396,image,289,397,92,13,2.573204771,4781,sports,11,0,0,1
397,image,166,187,68,48,1.78825938,2607,food,23,1,0,1
398,video,101,460,61,28,1.613583416,3063,sports,16,1,0,1
399,video,287,172,51,30,3.4035694,3528,sports,9,1,1,1
400,video,76,479,88,3,3.429372853,7594,fashion,17,1,0,1
401,image,206,289,40,17,4.210326814,4055,fashion,18,1,1,0
402,image,,44,30,19,,3805,food,17,0,1,0
403,video,205,60,84,46,0.82888291,4138,sports,12,0,0,0
404,video,84,82,83,42,1.731498732,9344,technology,13,0,0,0
405,image,185,122,21,43,4.910024584,813,sports,23,0,1,1
406,video,193,357,3,8,3.183163589,7360,technology,15,0,1,1
407,text,155,15,12,12,3.693816882,7111,food,17,0,1,1
408,image,213,65,44,14,0.533110233,8979,food,17,1,1,0
409,video,207,423,41,26,2.831925795,8621,technology,15,1,1,0
410,image,195,144,48,14,0.668878959,1846,technology,16,0,0,0
411,text,51,374,19,27,3.061535954,1307,sports,6,1,1,0
412,image,226,161,76,36,4.643468823,884,food,11,0,0,1
413,image,126,233,80,18,4.857886087,2796,sports,1,0,1,1
414,image,181,379,53,25,2.932487039,7173,technology,9,1,0,0
415,image,139,143,35,25,2.561921624,5136,fashion,4,1,1,1
416,text,138,357,96,24,4.752576924,7227,fashion,20,0,0,0
417,image,143,187,0,25,3.531244244,3818,fashion,2,1,0,0
418,image,252,321,14,25,0.792046758,5875,technology,18,0,1,0
419,video,56,449,76,45,2.5957651,8010,sports,12,0,1,0
420,image,144,473,16,27,1.581102583,2793,food,11,0,0,1
421,video,157,12,23,48,2.614119447,725,technology,2,0,0,1
422,text,,183,57,17,,3808,fashion,5,0,0,0
423,text,88,110,71,31,3.119651613,6959,sports,13,1,1,0
424,text,190,414,90,2,2.105467207,9053,food,3,0,1,1
425,text,208,289,22,1,1.239217023,7792,food,12,1,1,1
426,video,120,294,45,32,2.766737456,6498,technology,18,0,1,0
427,image,240,450,71,41,4.23591298,7352,technology,17,1,0,0
428,text,105,391,7,18,3.488055026,1655,food,2,0,1,0
429,image,290,214,58,16,2.022655397,8967,food,19,1,1,0
430,video,219,461,89,43,4.709853602,4287,fashion,5,0,1,0
431,video,238,119,58,32,4.604934071,7867,food,15,0,1,1
432,video,,381,12,11,,136,technology,19,1,1,1
433,text,233,54,38,48,0.677379133,1887,sports,23,1,0,0
434,image,85,26,27,2,3.835889188,6383,fashion,2,1,1,0
435,image,133,117,88,42,4.224246176,8160,fashion,11,1,0,0
436,image,245,220,60,48,4.855390547,8165,food,18,1,1,0
437,video,167,230,15,25,4.504263773,3980,sports,18,1,1,1
438,text,56,52,1,34,3.202406457,6032,fashion,23,0,1,1
439,video,103,294,81,7,2.885235526,8428,technology,3,0,1,0
440,video,,320,16,35,,6433,food,0,0,0,1
